Jurisdiction,Value,Race/ ethnicity,Year,Measure
State,52.2,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Allegany,45.0,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Anne Arundel,54.0,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Baltimore County,50.5,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Calvert,52.0,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Caroline,45.3,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Carroll,55.9,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Cecil,50.7,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Charles,53.2,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Dorchester,45.2,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Frederick,56.2,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Garrett,56.4,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Harford,58.7,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Howard,56.4,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Kent,52.3,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Montgomery,52.8,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Prince George's,50.4,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Queen Anne's,56.4,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Saint Mary's,55.2,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Somerset,41.2,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Talbot,54.2,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Washington,52.3,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Wicomico,50.7,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Worcester,54.3,All races/ ethnicities (aggregated),2019,Increase Physical Activity
Baltimore City,47.4,All races/ ethnicities (aggregated),2019,Increase Physical Activity
State,53.8,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Allegany,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Anne Arundel,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Baltimore County,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Calvert,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Caroline,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Carroll,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Cecil,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Charles,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Dorchester,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Frederick,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Garrett,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Harford,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Howard,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Kent,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Montgomery,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Prince George's,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Queen Anne's,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Saint Mary's,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Somerset,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Talbot,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Washington,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Wicomico,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Worcester,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
Baltimore City,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Increase Physical Activity
State,50.4,Asian/Pacific Islander Non-Hispanic/Latino,2019,Increase Physical Activity
Allegany,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Increase Physical Activity
Anne Arundel,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Increase Physical Activity
Baltimore County,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Increase Physical Activity
Calvert,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Increase Physical Activity
Caroline,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Increase Physical Activity
Carroll,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Increase Physical Activity
Cecil,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Increase Physical Activity
Charles,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Increase Physical Activity
Dorchester,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Increase Physical Activity
