Maryland County,Jurisdiction Code,Maryland Region,Best Available Data as of,County PDR/TDR,Cluster/subdv Remainder,MALPF,MET,Private Cons. Orgs.,Rural Legacy,POS Stateside Conservation Easements,Next Gen. Farmland Acquisition Program (MARBIDCO),ISTEA/ Forest Legacy/  CREP/ FRPP-ACEP,TOTAL Under Easement,LPPRP Local Parks and Recreation (incl. Local-Side POS),DNR State Land Inventory,LPPRP Federal Park and Conservation Lands,TOTAL Publicly Owned,GRAND TOTAL Preserved
Allegany,ALLE,Western Maryland,4-Sep-24,0,0,2009.52,1318,858.6,1645.74,0,52,106.83,5990.69,3640,69160,4513,77313,83303.69
Anne Arundel,ANNE,Baltimore,4-Sep-24,6674,0,5807.17,3625.15,2000,1831.68,771,0,299,21008,19326.6,4654,12288.5,36269.1,57277.1
Baltimore City,BACI,Baltimore,4-Sep-24,0,0,0,81.85,0,0,0,0,0,81.85,5026,0,42,5068,5149.85
Baltimore County,BACO,Baltimore,4-Sep-24,5446,4074,26926.6,17833.81,5637,11491.09,647.59,25.12,3096,75177.21,28903,22146,61,51110,126287.21
Calvert,CALV,Southern Maryland,4-Sep-24,24322.5,217,4715.24,2092,374.34,2577.12,0,0,69,34367.2,2550.9,4962,0,7512.9,41880.1
Caroline,CARO,Upper Eastern Shore,4-Sep-24,2571,0,36344.4,4676.47,0,3544.25,2337.77,317.81,94.4,49886.1,695.2,7424,0,8119.2,58005.3
Carroll,CARR,Baltimore,4-Sep-24,23233.09,0,46748.21,1302,1253,5511.63,0,0,0,78047.93,8069.51,4900,0,12969.51,91017.44
Cecil,CECI,Upper Eastern Shore,4-Sep-24,1091.64,4225,16086.93,6873,3299,5505.99,866.95,53.66,854,38856.17,11418,14585,2847,28850,67706.17
Charles,CHAR,Southern Maryland,4-Sep-24,7481,2099,16096.76,7325.19,2819,5378.93,3865.79,0,34.94,45100.61,3426.6,21873,1771.8,27071.4,72172.01
Dorchester,DORC,Lower Eastern Shore,4-Sep-24,0,0,16875.46,14250.22,5437,13002.24,8131.53,150,1219.22,59065.67,368.1,47182,35389,82939.1,142004.77
Frederick,FRED,Suburban Washington,4-Sep-24,22570,0,27347.16,8281.86,303,7884.68,4079.76,497.06,6380.45,77343.97,13135,13106,8642,34883,112226.97
Garrett,GARR,Western Maryland,4-Sep-24,0,0,7893.26,2680.31,4236,1978.04,1225.58,0,0,18013.19,3039.4,90746,3165,96950.4,114963.59
Harford,HARF,Baltimore,4-Sep-24,37341,6243.49,17686.43,3434.13,485.7,5090.31,333.06,0,422.06,71036.18,5814.6,7979,0,13793.6,84829.78
Howard,HOWA,Baltimore,4-Sep-24,19005,6309,4098.46,1372,121,81.23,0,0,0,30986.69,16668.2,9273,0,25941.2,56927.89
Kent,KENT,Upper Eastern Shore,4-Sep-24,0,0,25402.69,16627.44,3789.55,2675.77,0,303.14,1707.86,50506.45,449.2,5562,2283,8294.2,58800.65
Montgomery,MONT,Suburban Washington,4-Sep-24,63157.82,0,5645.79,2352,82,5869.18,821.51,34.18,198,78160.48,38942,12766,7669,59377,137537.48
Prince George's,PRIN,Suburban Washington,4-Sep-24,4413.91,7000,1972.05,672,2600,1767.56,0,0,164.22,18589.74,30529,7070,15444,53043,71632.74
Queen Anne's,QUEE,Upper Eastern Shore,4-Sep-24,11069,11266,36860.74,10179.97,1104,7936.16,2142,172.89,785.1,81515.86,3125.08,5981,0,9106.08,90621.94
St. Mary's,STMA,Southern Maryland,4-Sep-24,4664,0,15303.79,4283.08,133.9,8584.85,77.51,19.46,0,33066.59,3300,9045,0,12345,45411.59
Somerset,SOME,Lower Eastern Shore,4-Sep-24,0,0,7265.65,6057.77,200,1812.92,8116.48,0,2419.43,25872.25,632,50823,4431,55886,81758.25
Talbot,TALB,Upper Eastern Shore,4-Sep-24,580,0,13922.57,13012.68,1625.3,2298.36,950,124.14,62.81,32575.86,767.6,236,0,1003.6,33579.46
Washington,WASH,Western Maryland,4-Sep-24,2187,214,16011.73,4402.21,1039,9484.65,1199.22,468.56,3656.25,38662.62,1749.3,23093,8128,32970.3,71632.92
Wicomico,WICO,Lower Eastern Shore,4-Sep-24,782,1407,8370.14,2683,4998,5179.94,4215.76,128,1475.87,29239.71,2120.53,26692,725.25,29537.78,58777.49
Worcester,WORC,Lower Eastern Shore,4-Sep-24,0,0,10614,6815.97,10475,13424.08,8176.59,0,3882.62,53388.26,1798.75,44571,8200,54569.75,107958.01
TOTAL,N/A,N/A,4-Sep-24,236588.96,43054.49,370004.75,142232.1,52870.39,124556.4,47958.1,2346.02,26928.06,1046539.27,205494.57,503829,115599.55,824923.12,1871462.39
