Jurisdiction,Value,Race/ ethnicity,Year,Measure
State,32.6,All races/ ethnicities (aggregated),2017,Weight
Allegany,32.5,All races/ ethnicities (aggregated),2017,Weight
Anne Arundel,34.9,All races/ ethnicities (aggregated),2017,Weight
Baltimore City,30.3,All races/ ethnicities (aggregated),2017,Weight
Baltimore County,31.9,All races/ ethnicities (aggregated),2017,Weight
Calvert,37.4,All races/ ethnicities (aggregated),2017,Weight
Caroline,29.9,All races/ ethnicities (aggregated),2017,Weight
Carroll,30.0,All races/ ethnicities (aggregated),2017,Weight
Cecil,31.3,All races/ ethnicities (aggregated),2017,Weight
Charles,27.5,All races/ ethnicities (aggregated),2017,Weight
Dorchester,27.6,All races/ ethnicities (aggregated),2017,Weight
Frederick,32.9,All races/ ethnicities (aggregated),2017,Weight
Garrett,29.3,All races/ ethnicities (aggregated),2017,Weight
Harford,36.8,All races/ ethnicities (aggregated),2017,Weight
Howard,35.2,All races/ ethnicities (aggregated),2017,Weight
Kent,42.3,All races/ ethnicities (aggregated),2017,Weight
Montgomery,41.4,All races/ ethnicities (aggregated),2017,Weight
Prince George's,24.6,All races/ ethnicities (aggregated),2017,Weight
Queen Anne's,27.7,All races/ ethnicities (aggregated),2017,Weight
Saint Mary's,25.4,All races/ ethnicities (aggregated),2017,Weight
Talbot,32.4,All races/ ethnicities (aggregated),2017,Weight
Washington,27.9,All races/ ethnicities (aggregated),2017,Weight
Wicomico,29.0,All races/ ethnicities (aggregated),2017,Weight
Worcester,34.2,All races/ ethnicities (aggregated),2017,Weight
Anne Arundel,25.8,Black Non-Hispanic,2017,Weight
Baltimore City,22.3,Black Non-Hispanic,2017,Weight
Baltimore County,24.2,Black Non-Hispanic,2017,Weight
Charles,23.7,Black Non-Hispanic,2017,Weight
Dorchester,27.7,Black Non-Hispanic,2017,Weight
Montgomery,34.5,Black Non-Hispanic,2017,Weight
Prince George's,20.8,Black Non-Hispanic,2017,Weight
Montgomery,28.2,Hispanic,2017,Weight
Prince George's,25.2,Hispanic,2017,Weight
