OBJECTID,Global ID,Recreational Trail Number,Sponsor,Project Name,Project Location,Fiscal Year,Award Amount,Project Phase,RTP Manager Internal Notes,District,County,Project Description,Legislative District,Completed Date,Project Type,Managed Use,Primary Project Category,Trail Class,Land/Water Based,Structure Review Required,OMT Clearance Required,MOU Execution Date,MOU Extension Date,NEPA Date,ROW Certification Date,Recent Inspection Date,Public Display,Capture Method,OpenStreetMap ID,OpenStreetMap Rel Type,Public Primary Project Category,FMIS Number,Project Authorized,Authorization Date,x,y
3,e37c5e76-e98d-45eb-ad58-74f03ae01f0c,RT2201,Maryland Department of Transportation Port Administration,Cox Creek Community Trail,"1000 Kembo Road, Curtis Bay, MD",2022,83491,Procurement,,District 5,Anne Arundel,Construction of 2800 feet of the new Cox Creek Community Trail in the Cox Creek Forested Conservation Easement Area.,31B,,Non-motorized,Hike only,New Trail,3,Land,No,No,,,,,,Yes,,,,New Trail,,Yes,,1443617.07876389,557848.813521238
4,779f3dfc-7ca8-4fd8-8d5c-176e32f6c923,RT2202,"Wicomico County Recreation, Parks & Tourism",Pirate's Wharf,"Whitehaven Rd, Quantico, MD",2022,50000,Procurement,,District 1,Wicomico,Construct 2 stone dust surface trails and associated trailside amenities.,37B,,Non-motorized,Hike only,New Trail,3,Land,No,No,3/11/2022 5:00:00 AM,,,,,Yes,,,,New Trail,,No,,1671611.3304482,241068.431796841
5,d848295b-3622-4373-ae4b-3b3b37f6979e,RT2203,Queen Anne’s County Parks and Recreation,Kent Narrows Trail,321 Piney Narrows Road,2022,59040,MOU Execution / NEPA,,District 2,Queen Anne's,"Construct a 10-foot wide paved trail to provide a linkage to the existing Cross Island Trail from the northern portion of the Kent Narrows connecting to the Cross County Connector Trail that continues to Grasonville, MD.",36,,Non-motorized,Hike/Bike,New Trail,5,Land,,,,,,,,Yes,,,,New Trail,,,,1527491.59346908,475643.28046696
6,60f85ad9-a8a7-476a-b036-26e3f298ba3e,RT2204,Mid-Atlantic Off Road Enthusiasts,Rivers Edge Trails,"13th Ave., Brunswick, MD",2022,35520,Construction / Invoicing,,District 7,Frederick,Construction of 2 miles of natural surface singletrack multi-use trail and a trailhead kiosk.,4,,Non-motorized,Hike/Bike,New Trail with Structure,3,Land,Yes,,,,,,,Yes,,,,New Trail,,,,1140645.64868929,600459.237758374
8,3ed22eeb-1b37-42e2-adcf-f1ff2572c174,RT2206,Washington County Department of Public Works,Washington County Regional Park,,2022,120000,ROW,,District 6,Washington,Construction of 3/4 miles of multi-use crushed stone trail at Washington County Regional Park.,2A,,Non-motorized,Hike/Bike,New Trail with Structure,3,Land,Yes,Yes,,,,,,Yes,,,,New Trail,,,,1123450.76672974,710020.580507117
9,9ddf34de-ec33-4a4a-ab6f-dadf70f32432,RT2208,Catoctin Furnace Historical Society,Catoctin Iron Trail,"Catoctin Furnace Rd, Thurmont, MD",2022,55680,Construction,,District 7,Frederick,Restoration of 2095 feet of existing trail between the Catoctin Furnace ruins and the Manor Area of Cunningham Falls State Park.,4,,Non-motorized,Hike only,Maintenance,3,Land,No,No,3/17/2022 4:00:00 AM,,,,,Yes,,,,Maintenance and Restoration,,Yes,,1189901.00565506,697720.880059562
10,71599d43-eac4-4363-b48a-5d2cba16bdcf,RT2210,DNR - MPS - Pocomoke River State Park,Trail of Change Improvements,,2022,130073,Procurement,,District 1,Worcester,Construction of 2376 feet puncheon boardwalks on the Trail of Change at Pocomoke State Park.,38A,,Non-motorized,Hike only,Maintenance,4,Land,Yes,No,,,,,,Yes,,,,Maintenance and Restoration,,Yes,,1761758.39629792,176882.559525397
11,086966cc-8e05-4f81-86ef-82bfabfab066,RT2211,DNR - MPS - North Point State Park,North Point Hiker Biker and Black Marsh Trail Restoration,,2022,62988,Closeout,,District 4,Baltimore,"Resurfacing the Hiker Biker and Black Marsh trails at North Point State Park to improve drainage, safety, and trail sustainability.",6,6/15/2023 4:00:00 AM,Non-motorized,Hike/Bike,Maintenance,4,Land,No,,,,,,6/15/2023 4:00:00 AM,Yes,GPS,,,Maintenance and Restoration,,Yes,,1474939.38137659,561603.157045126
13,8812163d-ff96-4918-b59b-ad3f498f797a,RT2214,DNR - MFS - Potomac-Garrett State Forest,Burkholder Road ORV Trail Resurfacing,,2022,124721,Closeout,,District 6,Garrett,Restoration and maintenance of the trail bed surface and all associated drainage features on the Burkholder Road Off-Road Vehicle Trail at Potomac Garrett State Forest.,1A,5/3/2024 4:00:00 AM,Motorized,OHV/Motorbike/Truck,Maintenance,3,Land,,,,,,,11/15/2023 5:00:00 AM,Yes,GPS,,,Maintenance and Restoration,,Yes,,701488.641852396,665748.453413625
14,d53abdc6-0ae9-4667-be43-3aa00ecfba84,RT2101,Adkins Arboretum,Arboretum Trail Maintenance,,2021,25271,Closeout,,District 2,Caroline,"This project involves the maintenance of five miles of trails that  traverse the Arboretum and connect to the Tuckahoe State Park trails, the addition of Tuckahoe Valley Trail directional signs, replacement of the Nature's Role in the UGRR audio tour signs and installation of waterproof map boxes.",36,9/6/2022 4:00:00 AM,Motorized,Hike/Bike,Maintenance,3,Land,No,No,1/27/2021 5:00:00 AM,,3/15/2021 4:00:00 AM,3/18/2021 4:00:00 AM,8/9/2021 4:00:00 AM,Yes,,,,Maintenance and Restoration,,,,1615444.17286695,470251.532272023
