objectID,ID,slug,name,popularity,type,_geoloc/lat,_geoloc/lng,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,area_id,area_name,country_id,country_name,city_id,city_name,state_id,state_name,verified_map_id,features/0,features/1,features/2,features/3,features/4,features/5,features/6,activities/0,activities/1,activities/2,activities/3,feature_names/0,feature_names/1,feature_names/2,feature_names/3,feature_names/4,feature_names/5,feature_names/6,activity_names/0,activity_names/1,activity_names/2,activity_names/3,overview,num_reviews,units,area_slug,trail_id,city_url,park_slug,profile_photo_url,features/7,activities/4,activities/5,feature_names/7,activity_names/4,activity_names/5,activities/6,activity_names/6,features/8,feature_names/8,activities/7,activity_names/7,activities/8,features/9,feature_names/9,activity_names/8,features/10,feature_names/10,activities/9,activities/10,activity_names/9,activity_names/10,features/11,feature_names/11
trail-10000437,10000437,us/maryland/billy-goat-trail-and-chesapeake-and-ohio-canal-trail-loop,Billy Goat Trail and Chesapeake and Ohio Canal Trail Loop,37.1565,trail,39.00111,-77.24747,11426.314,84.73440000000001,3,L,3,4.5,10161408,Chesapeake and Ohio Canal National Historic Park,313,United States,6654,Potomac,21,Maryland,13274415,dogs-no,forest,river,views,waterfall,wild-flowers,wildlife,birding,hiking,nature-trips,trail-running,Dogs No,Forest,River,Views,Waterfall,Wild Flowers,Wildlife,Bird Watching,Hiking,Nature Trips,Running,,827,i,parks/us/maryland/chesapeake-and-ohio-canal-national-historic-park,10000437,us/maryland/potomac,us/maryland/chesapeake-and-ohio-canal-national-historic-park,https://cdn-assets.alltrails.com/uploads/photo/image/19423432/large_f97e561ea16a1c9468c2fa48ef626d2b.jpg,,,,,,,,,,,,,,,,,,,,,,,,
trail-10241923,10241923,us/maryland/annapolis-rock-via-appalachian-trail,Annapolis Rock via Appalachian Trail,33.8421,trail,39.53522,-77.60287,8207.634,248.7168,3,O,3,4.5,10110509,South Mountain State Park,313,United States,816,Boonsboro,21,Maryland,18966145,dogs-leash,forest,kids,views,wild-flowers,wildlife,,hiking,rock-climbing,,,Dogs Leash,Forest,Kid Friendly,Views,Wild Flowers,Wildlife,,Hiking,Rock Climbing,,,,831,i,parks/us/maryland/south-mountain-state-park,10241923,us/maryland/boonsboro,us/maryland/south-mountain-state-park,https://cdn-assets.alltrails.com/uploads/photo/image/20998904/large_d84fc7266eef7f447dbf8d6c682b8e01.jpg,,,,,,,,,,,,,,,,,,,,,,,,
trail-10243112,10243112,us/maryland/cascade-falls-and-rootball-loop-trail,Cascade Falls Loop Trail ,32.3864,trail,39.23025,-76.76072,4828.02,114.90960000000001,3,L,3,4.5,10110483,Patapsco Valley State Park,313,United States,2471,Elkridge,21,Maryland,19511966,dogs-leash,forest,kids,river,views,waterfall,wild-flowers,birding,hiking,mountain-biking,nature-trips,Dogs Leash,Forest,Kid Friendly,River,Views,Waterfall,Wild Flowers,Bird Watching,Hiking,Mountain Biking,Nature Trips,,760,i,parks/us/maryland/patapsco-valley-state-park,10243112,us/maryland/elkridge,us/maryland/patapsco-valley-state-park,https://cdn-assets.alltrails.com/uploads/photo/image/11484520/large_c5f5aadd2a4efb35b45b270479059090.jpg,wildlife,trail-running,walking,Wildlife,Running,Walking,,,,,,,,,,,,,,,,,,
trail-10024147,10024147,us/maryland/sugarloaf-mountain-and-northern-peaks-trail,Sugarloaf Mountain and Northern Peaks Trail,29.0392,trail,39.26061,-77.38999,9495.106,460.85760000000005,3,L,4,4.5,10119657,Sugarloaf Mountain Natural Area,313,United States,2154,Dickerson,21,Maryland,22966933,dogs-leash,forest,views,wild-flowers,wildlife,,,birding,hiking,nature-trips,rock-climbing,Dogs Leash,Forest,Views,Wild Flowers,Wildlife,,,Bird Watching,Hiking,Nature Trips,Rock Climbing,,532,i,parks/us/maryland/sugarloaf-mountain-natural-area,10024147,us/maryland/dickerson,us/maryland/sugarloaf-mountain-natural-area,https://cdn-assets.alltrails.com/uploads/photo/image/13498306/large_009a295f1cf0eb217cde7a1e2f54a255.jpg,,trail-running,walking,,Running,Walking,horseback-riding,Horseback Riding,,,,,,,,,,,,,,,,
trail-10007985,10007985,us/maryland/wolf-rock-chimney-rock-trail,Wolf Rock & Chimney Rock Trail,22.3924,trail,39.63373,-77.44923,5149.888,240.792,3,L,2,4.5,10119621,Catoctin Mountain Park,313,United States,8188,Thurmont,21,Maryland,13268710,dogs-leash,forest,views,wildlife,,,,hiking,walking,,,Dogs Leash,Forest,Views,Wildlife,,,,Hiking,Walking,,,,266,i,parks/us/maryland/catoctin-mountain-park,10007985,us/maryland/thurmont,us/maryland/catoctin-mountain-park,https://cdn-assets.alltrails.com/uploads/photo/image/19857359/large_d8da69b4dbd81dc134d358fa17f03c36.jpg,,,,,,,,,,,,,,,,,,,,,,,,
trail-10017679,10017679,us/maryland/avalon-loop-trail,Avalon Loop Trail,21.7524,trail,39.22742,-76.72596,32186.8,685.8000000000001,3,L,3,4,10169436,Patapsco Valley State Park Avalon Area,313,United States,428,Baltimore,21,Maryland,13564732,dogs-leash,forest,kids,partially-paved,river,views,waterfall,birding,hiking,mountain-biking,nature-trips,Dogs Leash,Forest,Kid Friendly,Partially Paved,River,Views,Waterfall,Bird Watching,Hiking,Mountain Biking,Nature Trips,,219,i,parks/us/maryland/patapsco-valley-state-park-avalon-area,10017679,us/maryland/baltimore,us/maryland/patapsco-valley-state-park-avalon-area,https://cdn-assets.alltrails.com/uploads/photo/image/22478095/large_5767d6d74edda27e2f8d89cc0b37d26c.jpg,,walking,,,Walking,,,,,,,,,,,,,,,,,,,
trail-10002108,10002108,us/maryland/overlook-trail,Great Falls Overlook Loop,21.4853,trail,39.00154,-77.24715,7563.898,58.8264,3,L,3,4.5,10161408,Chesapeake and Ohio Canal National Historic Park,313,United States,6654,Potomac,21,Maryland,21700653,dogs-no,forest,kids,partially-paved,river,views,waterfall,birding,hiking,nature-trips,rock-climbing,Dogs No,Forest,Kid Friendly,Partially Paved,River,Views,Waterfall,Bird Watching,Hiking,Nature Trips,Rock Climbing,,190,i,parks/us/maryland/chesapeake-and-ohio-canal-national-historic-park,10002108,us/maryland/potomac,us/maryland/chesapeake-and-ohio-canal-national-historic-park,https://cdn-assets.alltrails.com/uploads/photo/image/21548411/large_5e5ae659903986ba4cccf6659e1a8a08.jpg,wild-flowers,trail-running,,Wild Flowers,Running,,,,wildlife,Wildlife,,,,,,,,,,,,,,
trail-10242416,10242416,us/maryland/catoctin-mountain-extended-loop-trail,Catoctin Mountain Extended Loop Trail,21.1114,trail,39.63417,-77.45045,13840.324,516.9408000000001,3,L,3,4.5,10119621,Catoctin Mountain Park,313,United States,8188,Thurmont,21,Maryland,13499464,dogs-leash,forest,river,views,waterfall,wild-flowers,wildlife,birding,camping,hiking,nature-trips,Dogs Leash,Forest,River,Views,Waterfall,Wild Flowers,Wildlife,Bird Watching,Camping,Hiking,Nature Trips,,180,i,parks/us/maryland/catoctin-mountain-park,10242416,us/maryland/thurmont,us/maryland/catoctin-mountain-park,https://cdn-assets.alltrails.com/uploads/photo/image/19672579/large_51ae18a099bbf993b5521e0eb87b1ece.jpg,,rock-climbing,trail-running,,Rock Climbing,Running,,,,,,,,,,,,,,,,,,
trail-10020124,10020124,us/maryland/little-gunpowder-trail-to-jerusalem-mills-trail-loop,Little Gunpowder Trail to Jerusalem Mills Trail Loop,20.1124,trail,39.46291,-76.39029,6759.228,132.8928,3,L,2,4,10110469,Gunpowder Falls State Park,313,United States,4213,Kingsville,21,Maryland,13274857,dogs-leash,forest,river,views,wildlife,,,birding,hiking,mountain-biking,nature-trips,Dogs Leash,Forest,River,Views,Wildlife,,,Bird Watching,Hiking,Mountain Biking,Nature Trips,,277,i,parks/us/maryland/gunpowder-falls-state-park,10020124,us/maryland/kingsville,us/maryland/gunpowder-falls-state-park,https://cdn-assets.alltrails.com/uploads/photo/image/19432249/large_1eaeb42530d5697d64f93f2aeda7356f.jpg,,trail-running,walking,,Running,Walking,,,,,,,,,,,,,,,,,,
trail-10328509,10328509,us/maryland/king-and-queens-chair,King and Queens Chair Loop,19.2472,trail,39.63149,-76.41519,4828.02,199.9488,1,L,2,4.5,10110496,Rocks State Park,313,United States,3982,Jarrettsville,21,Maryland,19939980,dogs-leash,forest,kids,river,views,wild-flowers,wildlife,birding,hiking,nature-trips,trail-running,Dogs Leash,Forest,Kid Friendly,River,Views,Wild Flowers,Wildlife,Bird Watching,Hiking,Nature Trips,Running,,321,i,parks/us/maryland/rocks-state-park,10328509,us/maryland/jarrettsville,us/maryland/rocks-state-park,https://cdn-assets.alltrails.com/uploads/photo/image/20741378/large_ca9084ed4f4706a8430bc0f0081d1680.jpg,,walking,,,Walking,,,,,,,,,,,,,,,,,,,
