Jurisdiction,Number_of_Parks,Amount,County PDR/TDR,Cluster/subdv Remainder,MALPF,MET,Private Cons. Orgs.,Rural Legacy,POS Stateside Conservation Easements,Next Gen. Farmland Acquisition Program (MARBIDCO),ISTEA/ Forest Legacy/  CREP/ FRPP-ACEP,TOTAL Under Easement,LPPRP Local Parks and Recreation (incl. Local-Side POS),DNR State Land Inventory,LPPRP Federal Park and Conservation Lands,TOTAL Publicly Owned,GRAND TOTAL Preserved,Total Households,Population 25 years and older,Less than 9th Grade,High School no Diploma,High School Diploma,Some College no degree,Associates degree,Bachelor's degree,Graduate or Professional,Employment Status of the Population 16 years and over,Civilian Labor Force (16 years & over),Employed,Unemployed,Unemployment Rate,Commute Workers 16 yrs and over,Percent Drove Alone,Percent Carpooled,Percent Public Transportation,Percent Walked,Percent Other,Percent Worked at Home,Median Household Income ($),Families,Percent Families in Poverty,Percent Civilian Population w/ Health Ins. Cov.,Total Housing Units,Percent Occupied,Percent Vacant,Total Population,Voting Age Population,Male,Female,White Alone,Black Alone,Asian Alone,American Indian/Alaska Native Alone,Native Hawaiian/Pacific Islander Alone,Some Other Race Alone,Two or More Races,Hispanic or Latino (of any race),Year,All races/ ethnicities (aggregated),American Indian/Alaska Native Non-Hispanic/Latino,Asian/Pacific Islander Non-Hispanic/Latino,Black or African American Non-Hispanic/Latino,Hispanic,Native Hawaiian/Other Pacific Islander Hispanic/Latino,White Non-Hispanic/Latino
Allegany,14.0,5047835.0,0.0,0.0,2009.52,1318.0,858.6,1645.74,0.0,52.0,106.83,5990.69,3640.0,69160.0,4513.0,77313.0,83303.69,27462.0,47914.0,1036.0,3491.0,19476.0,9287.0,4645.0,5726.0,4253.0,57489.0,28476.0,26552.0,2807.0,7.0,26115.0,81.0,8.3,0.6,2.5,0.7,7.0,55248.0,15770.0,9.6,96.0,32882.0,83.5,17.0,68161.0,1777.0,32882.0,55605.0,1036.0,66784.0,4895.0,59108.0,68.0,631.0,5.0,839.0,2019.0,45.0,0.0,0.0,0.0,0.0,0.0,44.8
Anne Arundel,3.0,206070.0,6674.0,0.0,5807.17,3625.15,2000.0,1831.68,771.0,0.0,299.0,21008.0,19326.6,4654.0,12288.5,36269.1,57277.1,221704.0,409052.0,9100.0,17301.0,89780.0,82389.0,29970.0,102712.0,77800.0,470581.0,312808.0,299789.0,7972.0,4.0,306689.0,73.6,6.5,2.6,1.5,1.1,15.0,116009.0,152630.0,4.1,96.0,233163.0,95.1,5.0,588109.0,24472.0,233163.0,436575.0,29410.0,536885.0,101009.0,380026.0,565.0,23572.0,268.0,36884.0,2019.0,54.0,0.0,0.0,46.5,0.0,0.0,58.5
Baltimore,13.0,3087854.0,5446.0,4074.0,26926.6,17833.81,5637.0,11491.09,647.59,25.12,3096.0,75177.21,28903.0,22146.0,61.0,51110.0,126287.21,328611.0,589611.0,19201.0,29656.0,143462.0,111509.0,43084.0,136268.0,106431.0,688433.0,453360.0,429630.0,19079.0,5.0,422546.0,73.8,7.8,3.2,1.7,1.7,12.0,88157.0,210131.0,7.0,95.0,349471.0,94.0,6.0,850737.0,26333.0,349471.0,629172.0,32886.0,799040.0,252089.0,459907.0,1212.0,51521.0,352.0,37034.0,2019.0,50.5,0.0,0.0,46.6,41.3,0.0,54.3
Baltimore City,1.0,343300.0,0.0,0.0,0.0,81.85,0.0,0.0,0.0,0.0,0.0,81.85,5026.0,0.0,42.0,5068.0,5149.85,247232.0,410221.0,16276.0,36799.0,115541.0,77271.0,21160.0,72434.0,70740.0,477510.0,295854.0,275370.0,19011.0,7.0,270605.0,57.5,7.7,12.8,5.5,3.1,13.0,58349.0,119434.0,14.5,95.0,293555.0,84.2,16.0,584548.0,15944.0,293555.0,442181.0,20282.0,550167.0,354555.0,157912.0,1078.0,14875.0,113.0,26591.0,2019.0,47.4,0.0,0.0,43.3,0.0,0.0,56.0
Calvert,1.0,33000.0,24322.5,217.0,4715.24,2092.0,374.34,2577.12,0.0,0.0,69.0,34367.2,2550.9,4962.0,0.0,7512.9,41880.1,33284.0,64176.0,730.0,2817.0,18293.0,13931.0,5574.0,12420.0,10411.0,74441.0,48828.0,47275.0,1069.0,3.0,48004.0,77.0,6.1,1.9,0.9,1.1,13.0,128078.0,24745.0,2.8,97.0,35749.0,93.1,7.0,93244.0,3744.0,35749.0,70924.0,1963.0,88925.0,11305.0,70462.0,84.0,1837.0,49.0,3046.0,2019.0,52.0,0.0,0.0,0.0,0.0,0.0,53.7
Caroline,6.0,220321.0,2571.0,0.0,36344.4,4676.47,0.0,3544.25,2337.77,317.81,94.4,49886.1,695.2,7424.0,0.0,8119.2,58005.3,12013.0,22837.0,1226.0,2332.0,9012.0,4772.0,1451.0,2362.0,1682.0,26411.0,16795.0,16020.0,1160.0,5.0,15769.0,81.5,7.1,0.4,2.7,3.0,5.0,65326.0,8380.0,9.8,93.0,13473.0,89.2,11.0,33320.0,1119.0,13473.0,24253.0,2268.0,30584.0,4385.0,24411.0,20.0,152.0,0.0,2082.0,2019.0,45.3,0.0,0.0,0.0,0.0,0.0,55.0
Carroll,3.0,2383500.0,23233.09,0.0,46748.21,1302.0,1253.0,5511.63,0.0,0.0,0.0,78047.93,8069.51,4900.0,0.0,12969.51,91017.44,63318.0,120559.0,2089.0,4926.0,33969.0,22611.0,10242.0,28729.0,17993.0,140562.0,94103.0,91143.0,2750.0,3.0,90034.0,77.8,6.4,0.5,1.0,0.6,14.0,111672.0,46884.0,3.5,97.0,65804.0,96.2,4.0,173225.0,3613.0,65804.0,132442.0,3747.0,166056.0,6339.0,150328.0,221.0,3846.0,24.0,5133.0,2019.0,55.9,0.0,0.0,0.0,0.0,0.0,57.2
Cecil,14.0,582802.0,1091.64,4225.0,16086.93,6873.0,3299.0,5505.99,866.95,53.66,854.0,38856.17,11418.0,14585.0,2847.0,28850.0,67706.17,39338.0,72203.0,1663.0,4511.0,26216.0,14847.0,5650.0,11804.0,7512.0,83618.0,52778.0,50196.0,2565.0,5.0,49384.0,77.5,10.3,0.6,1.7,1.2,9.0,86869.0,27538.0,7.2,96.0,43957.0,89.5,11.0,103876.0,3136.0,43957.0,78970.0,1319.0,98807.0,6816.0,85729.0,109.0,1394.0,36.0,4247.0,2019.0,50.7,0.0,0.0,0.0,0.0,0.0,52.2
Charles,3.0,1886266.0,7481.0,2099.0,16096.76,7325.19,2819.0,5378.93,3865.79,0.0,34.94,45100.61,3426.6,21873.0,1771.8,27071.4,72172.01,59205.0,112613.0,2386.0,3870.0,34021.0,27325.0,10034.0,20490.0,14487.0,132209.0,88994.0,84642.0,1827.0,5.0,84812.0,75.8,6.9,4.2,0.6,0.9,12.0,116882.0,43205.0,3.7,96.0,62362.0,94.9,5.0,167035.0,8976.0,62362.0,123068.0,5576.0,155766.0,80640.0,58914.0,467.0,5328.0,25.0,6366.0,2019.0,53.2,0.0,0.0,53.8,0.0,0.0,52.8
Dorchester,0.0,0.0,0.0,0.0,16875.46,14250.22,5437.0,13002.24,8131.53,150.0,1219.22,59065.67,368.1,47182.0,35389.0,82939.1,142004.77,13216.0,23327.0,810.0,2045.0,9410.0,4914.0,1680.0,2425.0,2043.0,26687.0,15871.0,15001.0,1120.0,6.0,14681.0,80.4,10.4,0.4,1.1,0.9,7.0,57490.0,8377.0,8.7,95.0,16400.0,80.6,19.0,32557.0,1478.0,16400.0,25112.0,697.0,30565.0,8327.0,19973.0,4.0,438.0,0.0,1861.0,2019.0,45.2,0.0,0.0,46.6,0.0,0.0,46.5
